County,Sub_County,Zone,School,No_of_Devices,FID
MIGORI COUNTY,RONGO,KUJA,RAIRI,40,9233
MOMBASA  COUNTY,KISAUNI ,BAMBURI ZONE,UTANGE,78,9234
MURANG'A COUNTY,GATANGA  SUB-COUNTY,KARIARA,ELIMAMBO,36,9235
MIGORI COUNTY,RONGO,CHAM GIWADU,KOYAR,50,9236
MOMBASA  COUNTY,KISAUNI ,KENGELENI ZONE,KASHANI,69,9237
MURANG'A COUNTY,GATANGA  SUB-COUNTY,KARIARA,GATAKAINI,29,9238
MIGORI COUNTY,RONGO,CHAM GIWADU,OREMBE,57,9239
MOMBASA  COUNTY,LIKONI ,LIKONI ZONE,LIKONI,144,9240
MURANG'A COUNTY,GATANGA  SUB-COUNTY,KARIARA,GIITIRI,39,9241
MIGORI COUNTY,RONGO,CHAM GIWADU,NDONYO,30,9242
MOMBASA  COUNTY,LIKONI ,LIKONI ZONE,MRIMA,110,9243
MURANG'A COUNTY,GATANGA  SUB-COUNTY,KARIARA,GITEME,32,9244
MIGORI COUNTY,RONGO,CHAM GIWADU,KITUNJA,30,9245
MOMBASA  COUNTY,LIKONI ,LIKONI ZONE,JAMVI LA WAGENI,73,9246
MIGORI COUNTY,RONGO,MINYENYA,KAMEJI,52,9247
MOMBASA  COUNTY,LIKONI ,LIKONI ZONE,CONSOLATA CATHOLIC,70,9248
MURANG'A COUNTY,GATANGA  SUB-COUNTY,KARIARA,IGANJO,28,9249
MURANG'A COUNTY,kANGEMA,KANYENYAINI,KARURUMO,39,9250
MURANG'A COUNTY,kANGEMA,KANYENYAINI,KAYU,28,9251
MURANG'A COUNTY,GATANGA  SUB-COUNTY,KARIARA,KAGARII,30,9252
MOMBASA  COUNTY,LIKONI,MTONGWE,MTONGWE,60,9253
MIGORI COUNTY,RONGO,MINYENYA,KADIANG'A,58,9254
MURANG'A COUNTY,kANGEMA,KANYENYAINI,KIAWAMBOGO,32,9255
MIGORI COUNTY,RONGO,MINYENYA,KANYADGIRO,45,9256
MOMBASA  COUNTY,LIKONI,MTONGWE,MWANGALA,40,9257
MURANG'A COUNTY,GATANGA  SUB-COUNTY,KARIARA,KAMUNYA/KIUMU,25,9258
MIGORI COUNTY,RONGO,MINYENYA,TONYE,45,9259
MOMBASA  COUNTY,MOMBASA                                           ,MAJENGO,SACRED HEART,80,9260
MURANG'A COUNTY,GATANGA  SUB-COUNTY,KARIARA,KARANGI/KIANA,38,9261
MURANG'A COUNTY,kANGEMA,KANYENYAINI,KIBUTHA,27,9262
MIGORI COUNTY,RONGO,MINYENYA,LWALA,31,9263
MOMBASA  COUNTY,MOMBASA                                           ,MAJENGO,MAKANDE,31,9264
MURANG'A COUNTY,GATANGA  SUB-COUNTY,KARIARA,KIMANDI,30,9265
MIGORI COUNTY,RONGO,MINYENYA,SUMBA,30,9266
MOMBASA  COUNTY,MOMBASA                                           ,MBARAKI,MBARAKI,25,9267
MURANG'A COUNTY,GATANGA  SUB-COUNTY,KARIARA,MBUGITI,39,9268
MURANG'A COUNTY,kANGEMA,KANYENYAINI,KIRURI,8,9269
MIGORI COUNTY,RONGO,MINYENYA,ANDING'O KOKEBE,30,9270
MOMBASA  COUNTY,MOMBASA                                           ,MBARAKI,TOM MBOYA C.P,26,9271
MURANG'A COUNTY,GATANGA  SUB-COUNTY,KARIARA,MWAGU,38,9272
MURANG'A COUNTY,kANGEMA,KANYENYAINI,NDUINI,25,9273
MURANG'A COUNTY,GATANGA  SUB-COUNTY,KARIARA,WANYAGA,33,9274
MIGORI COUNTY,RONGO,MINYENYA,KOMITO,21,9275
MOMBASA  COUNTY,MOMBASA                                           ,TONONOKA,BONDENI GIRLS,52,9276
MURANG'A COUNTY,kANGEMA,KANYENYAINI,NGOE-INI,34,9277
MIGORI COUNTY,KURIA   WEST                                      ,MASABA,MUCHEBE,55,9278
MURANG'A COUNTY,kANGEMA,KANYENYAINI,NYAGATUGU,27,9279
MOMBASA  COUNTY,MOMBASA                                           ,TONONOKA,TOM MBOYA,43,9280
MIGORI COUNTY,NYATIKE                                           ,MUHURU,WINJO,50,9281
MURANG'A COUNTY,GATANGA  SUB-COUNTY,KIHUMBUINI,GATHAINI,26,9282
MIGORI COUNTY,RONGO,MINYENYA,URIRI,53,9283
MIGORI COUNTY,NYATIKE                                           ,MUHURU,IBENCHO,45,9284
MIGORI COUNTY,KURIA   WEST                                      ,MASABA,KOROGATI,42,9285
MIGORI COUNTY,RONGO,CHAM GIWADU,NYAMAROKA,28,9286
MURANG'A COUNTY,kANGEMA,KANYENYAINI,ST. JOHN KIRURI,31,9287
MURANG'A COUNTY,GATANGA  SUB-COUNTY,KIHUMBUINI,GATHUTHU,30,9288
MOMBASA  COUNTY,MOMBASA                                           ,ZIWANI,MARYCLIFF,25,9289
MIGORI COUNTY,NYATIKE                                           ,OLASI,NYAKURUNGOTO,43,9290
MIGORI COUNTY,KURIA   WEST                                      ,MASABA,GEKAMIRI,20,9291
MOMBASA  COUNTY,MOMBASA                                           ,ZIWANI,MVITA,20,9292
MURANG'A COUNTY,kANGEMA,KANYENYAINI,WANJERERE,39,9293
MURANG'A COUNTY,GATANGA  SUB-COUNTY,KIHUMBUINI,KIBAAKA,37,9294
MIGORI COUNTY,NYATIKE                                           ,OLASI,MANGU,48,9295
MIGORI COUNTY,NYATIKE                                           ,MACALDER,ST. GABRIEL,63,9296
MIGORI COUNTY,RONGO,CHAM GIWADU,ONGO,47,9297
MOMBASA  COUNTY,CHANGAMWE,MIKINDANI,ST. LWANGA,29,9298
MIGORI COUNTY,NYATIKE                                           ,OLASI,NYAMITHA,51,9299
MIGORI COUNTY,NYATIKE                                           ,MACALDER,MARIBA,50,9300
MIGORI COUNTY,RONGO,CHAM GIWADU,KITEMBE,42,9301
MURANG'A COUNTY,GATANGA  SUB-COUNTY,KIHUMBUINI,THARE,28,9302
MOMBASA  COUNTY,MOMBASA                                           ,ZIWANI,TUDOR,45,9303
MURANG'A COUNTY,KIGUMO  SUB-COUNTY,KANGARI,KAIRITU,37,9304
MOMBASA  COUNTY,MOMBASA                                           ,MAJENGO,BAHARI,54,9305
MIGORI COUNTY,RONGO,CHAM GIWADU,NYITIENGE,50,9306
MURANG'A COUNTY,KAHURO,MUGOIRI,GACHIKU,38,9307
MOMBASA  COUNTY,CHANGAMWE,MIKINDANI,CHANGAMWE,25,9308
MOMBASA  COUNTY,KISAUNI,BAMBURI,KIEMBENI ESTATE,69,9309
MIGORI COUNTY,RONGO,CHAM GIWADU,DAGO KODERO,54,9310
MURANG'A COUNTY,KAHURO,MUGOIRI,GATUNDU,26,9311
MURANG'A COUNTY,KIGUMO  SUB-COUNTY,KANGARI,KIMOTHO,32,9312
MURANG'A COUNTY,KIGUMO  SUB-COUNTY,KANGARI,NJOGU-INI,36,9313
MIGORI COUNTY,RONGO,NYABURU,KAMAGAMBO,44,9314
MURANG'A COUNTY,KAHURO,MUGOIRI,GITARO,26,9315
MOMBASA  COUNTY,KISAUNI,BAMBURI,MARIMANI,107,9316
MOMBASA  COUNTY,MOMBASA                                           ,MAJENGO,GURU NANAK,30,9317
MIGORI COUNTY,NYATIKE                                           ,OLASI,AONGEDHIANG,59,9318
MIGORI COUNTY,NYATIKE                                           ,MACALDER,NDEMRA,72,9319
MOMBASA  COUNTY,MOMBASA                                           ,TONONOKA,CENTRAL G,42,9320
MIGORI COUNTY,NYATIKE                                           ,OLASI,KIASA,40,9321
MIGORI COUNTY,NYATIKE                                           ,MACALDER,NYANDEMA,47,9322
MURANG'A COUNTY,KIGUMO  SUB-COUNTY,KIGUMO,GACHOCHO,15,9323
MURANG'A COUNTY,KAHURO,MUGOIRI,IGNATIO MURAI,27,9324
MOMBASA  COUNTY,KISAUNI,BAMBURI,MAUNGUJA,45,9325
MIGORI COUNTY,RONGO,NYABURU,NGODHE,51,9326
MURANG'A COUNTY,KAHURO,MURARANDIA,KIONJOINE,25,9327
MOMBASA  COUNTY,MOMBASA                                           ,TONONOKA,KALOLENI,33,9328
MIGORI COUNTY,NYATIKE                                           ,OLASI,BANDE,52,9329
MIGORI COUNTY,NYATIKE                                           ,MACALDER,OWICH,50,9330
MOMBASA  COUNTY,MOMBASA                                           ,ZIWANI,ST. AUGUSTINE'S,90,9331
MIGORI COUNTY,NYATIKE                                           ,OLASI,CHAMACHICHI,43,9332
MIGORI COUNTY,NYATIKE                                           ,MACALDER,KOWUOR,45,9333
MURANG'A COUNTY,KAHURO,MUGOIRI,KAMAGUTA,39,9334
MOMBASA  COUNTY,KISAUNI,BAMBURI,BAMBURI,46,9335
MIGORI COUNTY,RONGO,NYABURU,NYABURU,34,9336
MURANG'A COUNTY,KAHURO,MURARANDIA,MARIA-INI,26,9337
MURANG'A COUNTY,KIGUMO  SUB-COUNTY,KIGUMO,GAKOE-INI,27,9338
MURANG'A COUNTY,KAHURO,MUGOIRI,KIAGUTHU,9,9339
MOMBASA  COUNTY,KISAUNI,BAMBURI,DIGIRIKANI,75,9340
MIGORI COUNTY,RONGO,NYABURU,KUDHO,36,9341
MURANG'A COUNTY,KAHURO,MURARANDIA,MATHARITE,32,9342
MURANG'A COUNTY,KIGUMO  SUB-COUNTY,KIGUMO,KAIMIRI,27,9343
MURANG'A COUNTY,KAHURO,MUGOIRI,KIBOI,27,9344
MOMBASA  COUNTY,KISAUNI,BAMBURI,SHIMO BORSTAL INSTITUTION,45,9345
MIGORI COUNTY,RONGO,NYABURU,APONDO,35,9346
MURANG'A COUNTY,KAHURO,MURARANDIA,MUKUMU,27,9347
MURANG'A COUNTY,KIGUMO  SUB-COUNTY,KIGUMO,KIANGAI,19,9348
MOMBASA  COUNTY,MOMBASA                                           ,ZIWANI,R.G.NGALA,24,9349
MIGORI COUNTY,NYATIKE                                           ,OLASI,SAGENYA,48,9350
MIGORI COUNTY,NYATIKE                                           ,MACALDER,GOT ORANGO,57,9351
MURANG'A COUNTY,KAHURO,MUGOIRI,KIGURU,37,9352
MURANG'A COUNTY,KIGUMO  SUB-COUNTY,KIGUMO,MATHAREINI,40,9353
MOMBASA  COUNTY,KISAUNI,KENGELENI,AZHAR SHARRIFF,30,9354
MIGORI COUNTY,RONGO,NYABURU,MIYARE,31,9355
MURANG'A COUNTY,KAHURO,MURARANDIA,MURARANDIA,30,9356
MOMBASA  COUNTY,CHANGAMWE,CHAANI,MIRITINI,75,9357
MIGORI COUNTY,NYATIKE                                           ,OLASI,NYAMACHE,52,9358
MIGORI COUNTY,NYATIKE                                           ,MACALDER,MIROCHE,39,9359
MURANG'A COUNTY,KAHURO,MUGOIRI,KIUMBA,18,9360
MURANG'A COUNTY,KAHURO,MURARANDIA,THENGEINI,25,9361
MOMBASA  COUNTY,LIKONI,LIKONI,VYEMANI,66,9362
MIGORI COUNTY,RONGO,NYABURU,DAGO KOWUOR,30,9363
MURANG'A COUNTY,KIGUMO  SUB-COUNTY,KIGUMO,NGUKU,30,9364
MIGORI COUNTY,RONGO,NYABURU,PUNDO KAWITI,20,9365
MURANG'A COUNTY,KAHURO,WEITHAGA,GATHERU,25,9366
MOMBASA  COUNTY,LIKONI,LIKONI,SHIKA-ADABU,60,9367
MURANG'A COUNTY,KIGUMO  SUB-COUNTY,KIGUMO,TURUTURU,5,9368
MIGORI COUNTY,RONGO,NYABURU,NYANGAO,77,9369
MURANG'A COUNTY,KAHURO,WEITHAGA,GATHINJA,31,9370
MIGORI COUNTY,NYATIKE                                           ,MACALDER,OGONGO,34,9371
MIGORI COUNTY,NYATIKE                                           ,ALENDO,UNGOE,40,9372
MOMBASA  COUNTY,CHANGAMWE,CHAANI,MIKADINI,60,9373
MURANG'A COUNTY,KAHURO,MUGOIRI,KIUMU,36,9374
MURANG'A COUNTY,KAHURO,WEITHAGA,GITIE,25,9375
MOMBASA  COUNTY,MOMBASA ,ZIWANI ZONE,Sparki Primary School,80,9376
MOMBASA  COUNTY,LIKONI,LIKONI,INSPIRATIONS,89,9377
MURANG'A COUNTY,KAHURO,MUGOIRI,NGARU,27,9378
MOMBASA  COUNTY,CHANGAMWE,CHAANI,KWA HOLA,52,9379
MIGORI COUNTY,NYATIKE                                           ,MACALDER,ONGOCHE,34,9380
MIGORI COUNTY,NYATIKE                                           ,ALENDO,OPEYA,43,9381
MURANG'A COUNTY,KIGUMO  SUB-COUNTY,MUTHITHI,GATHIMAINI,38,9382
MURANG'A COUNTY,MATHIOYA,GITUGI,CHUI,38,9383
MIGORI COUNTY,NYATIKE                                           ,MACALDER,MUNYU,20,9384
MIGORI COUNTY,NYATIKE                                           ,ALENDO,KAYARA,40,9385
MOMBASA  COUNTY,CHANGAMWE,CHAANI,PORT REITZ,23,9386
MOMBASA  COUNTY,LIKONI,LIKONI,MWEZA,40,9387
MURANG'A COUNTY,KAHURO,MUGOIRI,YAMUGWE,32,9388
MURANG'A COUNTY,KAHURO,WEITHAGA,GITIGE,30,9389
MOMBASA  COUNTY,CHANGAMWE ,CHAANI ZONE,Mwijabu Primary School,69,9390
MURANG'A COUNTY,MATHIOYA,GITUGI,GITUGI,29,9391
MOMBASA  COUNTY,CHANGAMWE,CHAANI,UMOJA,143,9392
MIGORI COUNTY,NYATIKE                                           ,MACALDER,OBALWANDA,20,9393
MIGORI COUNTY,NYATIKE                                           ,ALENDO,NOT,50,9394
MOMBASA  COUNTY,KISAUNI ,KENGELENI ZONE,Kisauni Primary School,111,9395
MURANG'A COUNTY,KAHURO,WEITHAGA,GITUI,30,9396
MURANG'A COUNTY,KAHURO,MURARANDIA,GA.I.CANGERE,25,9397
MOMBASA  COUNTY,LIKONI,LIKONI,LIKONI REHABILITATION,36,9398
MURANG'A COUNTY,MATHIOYA,GITUGI,KAGONGO LOWER,33,9399
MOMBASA  COUNTY,CHANGAMWE,MIKINDANI,MIRITINI W.B,96,9400
MOMBASA  COUNTY,LIKONI,MTONGWE,VIJIWENI,40,9401
MURANG'A COUNTY,KAHURO,MURARANDIA,GATHATHI LOWER,30,9402
MURANG'A COUNTY,KAHURO,WEITHAGA,ITHIKI,32,9403
MOMBASA  COUNTY,CHANGAMWE ,CHAANI ZONE,CHAANI,100,9404
MOMBASA  COUNTY,CHANGAMWE ,CHAANI ZONE,KIPEVU,87,9405
MURANG'A COUNTY,KAHURO,WEITHAGA,KIANDERI,36,9406
MURANG'A COUNTY,KAHURO,MURARANDIA,GATHATHI UPPER,23,9407
MOMBASA  COUNTY,MOMBASA                                           ,MAJENGO,MAKUPA,40,9408
MURANG'A COUNTY,MATHIOYA,GITUGI,KANORO,7,9409
MOMBASA  COUNTY,CHANGAMWE,MIKINDANI,GOME,60,9410
MIGORI COUNTY,NYATIKE                                           ,ALENDO,KOGORE,30,9411
MIGORI COUNTY,NYATIKE                                           ,MACALDER,GODKWACH,20,9412
MURANG'A COUNTY,KAHURO,MURARANDIA,KAGANDA,39,9413
MOMBASA  COUNTY,MOMBASA                                           ,MAJENGO,MAJENGO,42,9414
MOMBASA  COUNTY,CHANGAMWE ,MIKINDANI ZONE,MIKINDANI,152,9415
MURANG'A COUNTY,KAHURO,WEITHAGA,KOIMBE,33,9416
MIGORI COUNTY,KURIA   WEST                                      ,MASABA,NYATIRA,39,9417
MURANG'A COUNTY,MATHIOYA,GITUGI,KIUU,27,9418
MOMBASA  COUNTY,CHANGAMWE,MIKINDANI,MRERONI,32,9419
MIGORI COUNTY,NYATIKE                                           ,ALENDO,TIANY NYA GOD JOPE,30,9420
MOMBASA  COUNTY,MOMBASA                                           ,TONONOKA,MBEHENI,25,9421
MOMBASA  COUNTY,CHANGAMWE ,MIKINDANI ZONE,BOMU,150,9422
MURANG'A COUNTY,KAHURO,MURARANDIA,KARURI-INI,32,9423
MIGORI COUNTY,KURIA   WEST                                      ,MASABA,KOMOREGE,36,9424
MURANG'A COUNTY,KAHURO,WEITHAGA,WANJENGI,33,9425
MURANG'A COUNTY,MATHIOYA,GITUGI,RUIRU,15,9426
MOMBASA  COUNTY,CHANGAMWE,MIKINDANI,MAGONGO,24,9427
MIGORI COUNTY,KURIA   WEST                                      ,MASABA,KOROBUNYIGE,35,9428
MOMBASA  COUNTY,MOMBASA                                           ,MAJENGO,GANJONI,118,9429
MOMBASA  COUNTY,CHANGAMWE ,MIKINDANI ZONE,KWA JOMVU,72,9430
MIGORI COUNTY,KURIA   WEST                                      ,MASABA,NYABIRONGO,38,9431
MURANG'A COUNTY,KAHURO,WEITHAGA,WEITHAGA,36,9432
MURANG'A COUNTY,MATHIOYA,KAMACHARIA,J.J. KAMOTHO,22,9433
MIGORI COUNTY,KURIA EAST,CHINATO,KEMAKOBA,55,9434
MOMBASA  COUNTY,KISAUNI,BAMBURI,MAJAONI,48,9435
MOMBASA  COUNTY,MOMBASA                                           ,MBARAKI,STAR OF THE SEA,95,9436
MOMBASA  COUNTY,CHANGAMWE ,MIKINDANI ZONE,KWASHEE,101,9437
MURANG'A COUNTY,KANDARA,GAICHANJIRU,GAICHANJIRU,31,9438
MIGORI COUNTY,KURIA   WEST                                      ,MASABA,NYAWAITANCHIRIA,20,9439
MURANG'A COUNTY,MATHIOYA,KAMACHARIA,KAGWANJA,30,9440
MIGORI COUNTY,KURIA   WEST                                      ,MISS ZONE/KURIA,KOMASINCHA,38,9441
MOMBASA  COUNTY,KISAUNI,BAMBURI,BARAKA VORONI,65,9442
MIGORI COUNTY,KURIA EAST,CHINATO,REMANYANKI,115,9443
MURANG'A COUNTY,MATHIOYA,KAMACHARIA,KAIRI,29,9444
MURANG'A COUNTY,KANDARA,GAICHANJIRU,KAWANJERU,37,9445
MOMBASA  COUNTY,KISAUNI ,BAMBURI ZONE,SHIMO LA TEWA,45,9446
MOMBASA  COUNTY,CHANGAMWE,MIKINDANI,MAJI SAFI,73,9447
MURANG'A COUNTY,MATHIOYA,KAMACHARIA,KAMUNE,33,9448
MOMBASA  COUNTY,KISAUNI ,KENGELENI ZONE,KONGOWEA,125,9449
MURANG'A COUNTY,KANDARA,GITHUMU,GATHAGE,33,9450
MOMBASA  COUNTY,LIKONI  SUB-COUNTY,LIKONI,LIKONI MUSLIM,62,9451
MIGORI COUNTY,KURIA EAST,KEGONGA,NYAKEHOMO,42,9452
MOMBASA  COUNTY,KISAUNI,BAMBURI,MWAKIRUNGE,67,9453
MIGORI COUNTY,KURIA EAST,CHINATO,KOMOTOBO MIXED,52,9454
MURANG'A COUNTY,MATHIOYA,KAMACHARIA,KANG'ONGI,23,9455
MURANG'A COUNTY,KANDARA,GITHUMU,GITHAITI,40,9456
MOMBASA  COUNTY,LIKONI  SUB-COUNTY,LIKONI,PUMA,56,9457
MIGORI COUNTY,KURIA EAST,CHINATO,KEBAROTI,55,9458
MOMBASA  COUNTY,KISAUNI,BAMBURI,KADZANDANI,78,9459
MIGORI COUNTY,NYATIKE                                           ,AGENGA,NYORA,67,9460
MURANG'A COUNTY,MATHIOYA,KAMACHARIA,KIRIITHIRU,23,9461
MURANG'A COUNTY,KANDARA,GITHUMU,KIANGARI,40,9462
MOMBASA  COUNTY,LIKONI  SUB-COUNTY,LIKONI,PELELEZA,40,9463
MIGORI COUNTY,NYATIKE                                           ,AGENGA,AKALA,49,9464
MIGORI COUNTY,KURIA EAST,CHINATO,KIONYO,45,9465
MOMBASA  COUNTY,KISAUNI,KENGELENI,MLALEO,60,9466
MURANG'A COUNTY,MATHIOYA,KAMACHARIA,KIRUNGU,24,9467
MURANG'A COUNTY,KANDARA,GITHUMU,RUONA,40,9468
MOMBASA  COUNTY,LIKONI  SUB-COUNTY,MTONGWE,KENYA-NAVY,80,9469
MIGORI COUNTY,NYATIKE                                           ,AGENGA,LWALA-RABUOR,30,9470
MOMBASA  COUNTY,LIKONI  SUB-COUNTY,MTONGWE,LONGO,55,9471
MURANG'A COUNTY,MATHIOYA,KAMACHARIA,MUKUI PRI,30,9472
MIGORI COUNTY,KURIA EAST,CHINATO,MOSWETO,45,9473
MURANG'A COUNTY,KANDARA,ITHIRU,GATHUGU,40,9474
MOMBASA  COUNTY,KISAUNI,KENGELENI,KENGELENI,100,9475
MOMBASA  COUNTY,MOMBASA                                           ,MBARAKI,MOMBASA,42,9476
MURANG'A COUNTY,KANDARA,ITHIRU,KAGONGO,31,9477
MURANG'A COUNTY,MATHIOYA,KAMACHARIA,NGAMBA,28,9478
MOMBASA  COUNTY,KISAUNI,KENGELENI,KHADIJA,80,9479
MIGORI COUNTY,KURIA EAST,CHINATO,TEBESI,90,9480
MIGORI COUNTY,NYATIKE                                           ,AGENGA,PAW-NDEGE,42,9481
MOMBASA  COUNTY,MOMBASA                                           ,MBARAKI,SERANI,35,9482
MURANG'A COUNTY,MATHIOYA,KAMACHARIA,NGECU,10,9483
MURANG'A COUNTY,KANDARA,ITHIRU,KAGUTHI,37,9484
MIGORI COUNTY,NYATIKE                                           ,AGENGA,ONGER,35,9485
MIGORI COUNTY,KURIA EAST,CHINATO,KEBARE,64,9486
MURANG'A COUNTY,MATHIOYA,KAMACHARIA,WAHUNDURA,20,9487
MOMBASA  COUNTY,KISAUNI,KENGELENI,FATHIL ADHIM,51,9488
MOMBASA  COUNTY,CHANGAMWE,MIKINDANI,AMANI,185,9489
MURANG'A COUNTY,KANDARA,ITHIRU,KIRUNGURU,32,9490
MOMBASA  COUNTY,KISAUNI,KENGELENI,MAWENI,85,9491
MIGORI COUNTY,KURIA EAST,CHINATO,KOMOTOBO SPECIAL SCHOOL,4,9492
MIGORI COUNTY,NYATIKE                                           ,AGENGA,SERE,45,9493
MURANG'A COUNTY,KANDARA,MURUKA,GATITU,40,9494
MOMBASA  COUNTY,CHANGAMWE,MIKINDANI,ST. MARY'S BANGLADESH,42,9495
MURANG'A COUNTY,KANDARA,MURUKA,KABURUGI,36,9496
MURANG'A COUNTY,KANDARA,MURUKA,KAHARIRO,40,9497
MURANG'A COUNTY,MURANGA EAST,MUNICIPALITY,TECHNOLOGY,110,9498
MIGORI COUNTY,NYATIKE                                           ,AGENGA,GOGLO,51,9499
MIGORI COUNTY,NYATIKE                                           ,AGENGA,KITUKA,37,9500
MURANG'A COUNTY,KANDARA,MURUKA,KANYIRI-INI,32,9501
MIGORI COUNTY,NYATIKE                                           ,ALENDO,OJAWA,44,9502
MURANG'A COUNTY,MATHIOYA,KAMACHARIA,KAGANJO,48,9503
MIGORI COUNTY,NYATIKE                                           ,ALENDO,NYASOKO,45,9504
MURANG'A COUNTY,MATHIOYA,KIRITI,NGURU-INI,33,9505
MURANG'A COUNTY,KANDARA,MURUKA,KARIKO,25,9506
MIGORI COUNTY,RONGO,MIGORI,ONYALO,58,9507
MIGORI COUNTY,NYATIKE                                           ,ALENDO,OKAYO,40,9508
MURANG'A COUNTY,MURANGA SOUTH,MAKUYU,COLLEGE,47,9509
MURANG'A COUNTY,KANDARA,MURUKA,KIAWAMBUTU,26,9510
MURANG'A COUNTY,MATHIOYA,KIRITI,NYAKIANGA,40,9511
MIGORI COUNTY,RONGO,MIGORI,WI-AROT,81,9512
MIGORI COUNTY,NYATIKE                                           ,ALENDO,RABARE,51,9513
MURANG'A COUNTY,GATANGA,GATANGA,GATUNYU,80,9514
MURANG'A COUNTY,MATHIOYA,KIRITI,WAMBWE,40,9515
MURANG'A COUNTY,KAHURO,MUGOIRI,GITHAGARA,37,9516
MIGORI COUNTY,RONGO,MIGORI,ASAR JOHANSSON,50,9517
MIGORI COUNTY,NYATIKE                                           ,ALENDO,OBWARE,44,9518
MURANG'A COUNTY,KANDARA,MURUKA,KIRANGA,6,9519
MIGORI COUNTY,RONGO,MIGORI,NYANKO,129,9520
MIGORI COUNTY,NYATIKE                                           ,ALENDO,GOD BIM,35,9521
MURANG'A COUNTY,KANDARA,GAICHANJIRU,WANGAI,35,9522
MURANG'A COUNTY,KANDARA,MURUKA,KIUGU,30,9523
MURANG'A COUNTY,KANGEMA,IYEGO,MUGURU,130,9524
MIGORI COUNTY,RONGO,MIGORI,MAPERA,56,9525
MIGORI COUNTY,NYATIKE                                           ,ALENDO,BONDO KOSIEMO,43,9526
MURANG'A COUNTY,KANDARA,MURUKA,MAHUTIA,26,9527
MURANG'A COUNTY,MATHIOYA,KIRU,GITITU,16,9528
MURANG'A COUNTY,MATHIOYA,KIRU,KAGIOINI,28,9529
MIGORI COUNTY,RONGO,MIGORI,KADIKA,48,9530
MIGORI COUNTY,NYATIKE                                           ,ALENDO,ADUGO,49,9531
MURANG'A COUNTY,KIGUMO,KANGARI,MWARANO,81,9532
MURANG'A COUNTY,MATHIOYA,KIRU,KAGUMOINI,26,9533
MURANG'A COUNTY,KANDARA,MURUKA,MUGAA-INI,40,9534
MURANG'A COUNTY,MATHIOYA,KIRU,KAIRO,32,9535
MIGORI COUNTY,RONGO,MIGORI,ST. JOSEPH OMBO,45,9536
MIGORI COUNTY,KURIA EAST,KEGONGA,KEGONGA,78,9537
MURANG'A COUNTY,MATHIOYA,GITUGI,NGUTU,52,9538
MURANG'A COUNTY,KANDARA,MURUKA,MUMBU,30,9539
MURANG'A COUNTY,MATHIOYA,KIRU,KIRIANI,32,9540
MIGORI COUNTY,RONGO,MIGORI,LELA,65,9541
MIGORI COUNTY,KURIA EAST,KEGONGA,KUGITIMO,89,9542
MURANG'A COUNTY,MURANGA EAST,GATURI,GITURI,35,9543
MIGORI COUNTY,RONGO,MIGORI,NGEGE,72,9544
MIGORI COUNTY,KURIA EAST,KEGONGA,NYAMAGONGWI,55,9545
MURANG'A COUNTY,MATHIOYA,KIRU,KORA,22,9546
MURANG'A COUNTY,KANDARA,MURUKA,MUTUNDU-INI,24,9547
MURANG'A COUNTY,MURANGA SOUTH,ICHAGAKI,KIANJIRU-INI,101,9548
MIGORI COUNTY,RONGO,MIGORI,MIDOTI,27,9549
MIGORI COUNTY,KURIA EAST,KEGONGA,GETONGOROMA,80,9550
MURANG'A COUNTY,kANGEMA,IYEGO,GACHARAIGU,37,9551
MIGORI COUNTY,RONGO,MIGORI,LICHOTA KAJWANG,47,9552
MIGORI COUNTY,KURIA EAST,KEGONGA,SAKURI,46,9553
MURANG'A COUNTY,GATANGA,GATANGA,NGATE,21,9554
MURANG'A COUNTY,kANGEMA,IYEGO,KIAIRATHE,33,9555
MURANG'A COUNTY,kANGEMA,IYEGO,KIAWAIREGI,36,9556
MURANG'A COUNTY,MATHIOYA,KIRU,MANANGA,36,9557
MIGORI COUNTY,RONGO,MIGORI,ORUBA,110,9558
MURANG'A COUNTY,kANGEMA,IYEGO,MUKARARA,40,9559
MIGORI COUNTY,KURIA EAST,KEGONGA,KWIGENA,75,9560
MIGORI COUNTY,RONGO,MIGORI,RAGANA,81,9561
MURANG'A COUNTY,GATANGA,GATANGA,THAMURU,21,9562
MURANG'A COUNTY,kANGEMA,IYEGO,NGOORO,25,9563
MURANG'A COUNTY,MATHIOYA,KIRU,WARUGARA,36,9564
MURANG'A COUNTY,KAHURO,MUGOIRI,MUTHIRIA,14,9565
MURANG'A COUNTY,MURANGA EAST,GATURI,GAITHERI,34,9566
MURANG'A COUNTY,kANGEMA,IYEGO,THIRIKWA,36,9567
MIGORI COUNTY,RONGO,MIGORI,MILIMANI,53,9568
MIGORI COUNTY,KURIA EAST,KEGONGA,NGURUNA,55,9569
MURANG'A COUNTY,KAHURO,MUGOIRI,KIYU,15,9570
MURANG'A COUNTY,kANGEMA,IYEGO,WATUHA,31,9571
MIGORI COUNTY,RONGO,RONGO,RONGO,146,9572
MIGORI COUNTY,KURIA EAST,KEGONGA,NYAITARA,21,9573
MURANG'A COUNTY,KAHURO,MUGOIRI,KIAYATTA,16,9574
MURANG'A COUNTY,kANGEMA,KAGUNDU,MAHURIA,34,9575
MIGORI COUNTY,KURIA EAST,KEGONGA,BIASIMWI,53,9576
MIGORI COUNTY,RONGO,RONGO,NYARACH,100,9577
MURANG'A COUNTY,kANGEMA,KAGUNDU,NGAAINI,38,9578
